Site,Year,Month,date_yearmon,Date_sample,logCHLa,CHLa,AFDM,window_m1,window_m2,TP_mg_L,TN_mg_L,SRP_mg_L,NH4_mg_L,NO3_mg_L,DIN_mg_L,pH,Temp_oC,SPC,TDS,TURBIDITY,Q_peak_cfs,Q_baseflow_cfs,anomaly,Date_peak,Q_obs_cfs,Days_Since_Freshet
BM,2008,8,Aug 2008,2008-08-01,1.7983052820219765,62.85,15.315,7,8,0.01866666666666666,0.2,NA,0.03333333333333333,0.03233333333333332,0.06566666666666665,8.481666666666666,16.333333333333332,249.33333333333337,134.64999999999998,3.8966666666666665,35500,5123.015938202797,1.906488611540619,2008-05-21,3050,72
BM,2008,9,Sep 2008,2008-09-01,1.864511081058392,73.2,13.565,8,9,0.01616666666666666,0.2,NA,0.02833333333333333,0.04416666666666666,0.07249999999999998,8.549166666666668,13.558333333333332,285.08333333333337,153.60833333333335,2.9891666666666667,35500,5123.015938202797,1.906488611540619,2008-05-21,3050,103
BM,2009,8,Aug 2009,2009-08-03,1.57978359661681,38,10.75,7,8,0.01943999999999999,0.2105,0.007435,0.00707333333333332,0.03279833333333333,0.03987166666666666,8.305,16.68333333333333,259.83333333333337,137.81666666666666,3.883333333333333,35300,5123.015938202797,1.902901606620565,2009-06-01,2990,63
BM,2009,9,Sep 2009,2009-09-07,2.5572206712612977,360.7619047619048,40.7,8,9,0.02352916666666666,0.23804166666666665,0.008719,0.011569,0.043121,0.05469,8.346666666666668,16.4,292.16666666666663,154.86666666666667,2.8266666666666667,35300,5123.015938202797,1.902901606620565,2009-06-01,2280,98
BM,2010,8,Aug 2010,2010-08-01,1.8221992238681493,66.4047619047619,20.526315789473685,7,8,0.01961666666666666,0.21,0.00758333333333333,0.0092499999999999891,0.03478333333333333,0.04403333333333333,7.893333333333333,18.133333333333333,256.1666666666667,136.23333333333332,3.126666666666667,23100,5123.015938202797,1.652071189612471,2010-06-06,2710,56
BM,2010,9,Sep 2010,2010-09-10,2.1424788547127305,138.82857142857142,31.95,8,9,0.01965833333333333,0.248875,0.00654166666666666,0.02092916666666666,0.05285833333333333,0.0737875,8.115,15.750000000000002,290.33333333333337,154.3,3.3983333333333334,23100,5123.015938202797,1.652071189612471,2010-06-06,2690,96
BM,2011,8,Aug 2011,2011-08-03,1.646263653820016,44.285714285714285,13.095238095238097,7,8,0.02725,0.17866666666666667,0.01136666666666666,0.01811666666666666,0.02661666666666666,0.04473333333333332,8.348333333333333,15.3,221.28333333333333,143.86666666666667,4.933333333333334,46600,5123.015938202797,2.0874691691354004,2011-06-09,5730,55
BM,2011,9,Sep 2011,2011-09-05,1.5947607525864629,39.333333333333336,8.428571428571429,8,9,0.01698333333333333,0.18666666666666665,0.00853333333333333,0.01588333333333333,0.04018333333333333,0.05606666666666665,8.395833333333332,14.225,257.9083333333333,167.61666666666667,2.09,46600,5123.015938202797,2.0874691691354004,2011-06-09,2800,88
BM,2012,8,Aug 2012,2012-08-02,1.515369143501592,32.76190476190476,12.047619047619047,7,8,0.016695,0.23093333333333332,0.00588999999999999,0.01567,0.02842999999999999,0.0441,8.256666666666668,17.05,238.81666666666663,155.11666666666667,2.2083333333333335,33700,5123.015938202797,1.8737057862642108,2012-04-28,2430,96
BM,2012,9,Sep 2012,2012-09-03,2.207852274103459,161.38095238095238,27.80952380952381,8,9,0.01399333333333333,0.207045,0.00351666666666666,0.0086125,0.03873666666666667,0.04734916666666667,8.27,14.291666666666666,250.775,162.925,2.200833333333333,33700,5123.015938202797,1.8737057862642108,2012-04-28,1790,128
